"User Type","Product","Price","","","","","","","","","","","","","","","","","","","","","","",""
"Kids","Ethnic Kurta set - 2pcs","99","","","","","","","","","","","","","","","","","","","","","","",""
"Kids","Tights and Leggings","17","","","","","","","","","","","","","","","","","","","","","","",""
"Kids","Dungaree ( Short / Long )","74","","","","","","","","","","","","","","","","","","","","","","",""
"Kids","Ethnic wear ( Normal / Heavy work )","149","","","","","","","","","","","","","","","","","","","","","","",""
"Kids","Undergarment","19","","","","","","","","","","","","","","","","","","","","","","",""
"Kids","Blouse / Top","35","","","","","","","","","","","","","","","","","","","","","","",""
"Kids","Choli+Lehanga+Dupatta","199","","","","","","","","","","","","","","","","","","","","","","",""
"Kids","Skirt","45","","","","","","","","","","","","","","","","","","","","","","",""
"Kids","Frock","59","","","","","","","","","","","","","","","","","","","","","","",""
"Kids","Kurta + Pants / Salwar / Churidar + Dupatta","149","","","","","","","","","","","","","","","","","","","","","","",""
"Kids","Jacket","75","","","","","","","","","","","","","","","","","","","","","","",""
"Kids","Sweater ( Full Sleeves )","65","","","","","","","","","","","","","","","","","","","","","","",""
"Kids","Sweater ( Sleeveless )","55","","","","","","","","","","","","","","","","","","","","","","",""
"Kids","Cotton Frock","74","","","","","","","","","","","","","","","","","","","","","","",""
"Kids","Designer Frock","149","","","","","","","","","","","","","","","","","","","","","","",""
"Women Luxury","Lehenga","349","","","","","","","","","","","","","","","","","","","","","","",""
"Women Luxury","Choli + Lehanga","399","","","","","","","","","","","","","","","","","","","","","","",""
"Women Luxury","Dress","299","","","","","","","","","","","","","","","","","","","","","","",""
"Women Luxury","Dupatta","94","","","","","","","","","","","","","","","","","","","","","","",""
"Women Luxury","Pyjama / Pants / Salwar / Churidar","64","","","","","","","","","","","","","","","","","","","","","","",""
"Women Luxury","Kurta + Pants / Salwar / Churidar","212","","","","","","","","","","","","","","","","","","","","","","",""
"Women Luxury","Lehanga / Flared Skirt","349","","","","","","","","","","","","","","","","","","","","","","",""
"Women Luxury","Saree ( Embroidered / Heavy )","299","","","","","","","","","","","","","","","","","","","","","","",""
"Women Luxury","Sherwani / Achkan","599","","","","","","","","","","","","","","","","","","","","","","",""
"Women Luxury","Overcoat","269","","","","","","","","","","","","","","","","","","","","","","",""
